amount,created_at,customer,order_id,razorpay_payment_id
6608.49,2026-08-12T22:00:00,Sameer Joshi,ORD1001,pay_99077186089
2817.77,2026-08-08T00:00:00,Neha Kapoor,ORD1002,pay_38910213920
3565.35,2026-08-01T06:00:00,Priya Menon,ORD1003,pay_39092363435
9220.39,2026-08-06T04:00:00,Ananya Rao,ORD1004,pay_19722998268
20516.4,2026-08-16T22:00:00,Karan Malhotra,ORD1005,pay_32831157567
10285.06,2026-08-18T13:00:00,Aditya Kulkarni,ORD1006,pay_63112357897
20540.48,2026-08-15T11:00:00,Ritu Chawla,ORD1007,pay_59445793882
5448.54,2026-08-17T19:00:00,Vikram Shah,ORD1008,pay_53586168360
18111.04,2026-08-10T15:00:00,Priya Menon,ORD1009,pay_18798464573
16377.87,2026-08-05T01:00:00,Arjun Reddy,ORD1010,pay_17036549615
21008.2,2026-08-05T23:00:00,Karan Malhotra,ORD1011,pay_96469618746
10688.95,2026-08-05T14:00:00,Aditya Kulkarni,ORD1012,pay_72372349808
9610.92,2026-08-18T05:00:00,Vikram Shah,ORD1013,pay_32928591681
12295.43,2026-08-10T10:00:00,Aditya Kulkarni,ORD1014,pay_34265243029
7433.01,2026-08-17T20:00:00,Arjun Reddy,ORD1015,pay_58776099470
23924.96,2026-08-17T04:00:00,Karan Malhotra,ORD1016,pay_36483509744
15705.31,2026-08-21T08:00:00,Sneha Iyer,ORD1017,pay_35888439437
22326.7,2026-08-04T10:00:00,Ananya Rao,ORD1018,pay_35632281137
15410.31,2026-08-19T06:00:00,Ishaan Gupta,ORD1019,pay_61123778812
20833.84,2026-08-12T01:00:00,Meera Pillai,ORD1020,pay_93966322571
3809.18,2026-08-20T12:00:00,Arjun Reddy,ORD1021,pay_76846266014
15846.57,2026-08-19T12:00:00,Karan Malhotra,ORD1022,pay_67677978649
14969.58,2026-08-10T15:00:00,Sameer Joshi,ORD1023,pay_66912904912
3309.58,2026-08-20T14:00:00,Ananya Rao,ORD1024,pay_49709121465
12013.67,2026-08-02T07:00:00,Ritu Chawla,ORD1025,pay_46464782628
13476.4,2026-08-11T19:00:00,Sneha Iyer,ORD1026,pay_12275763620
17278.29,2026-08-07T00:00:00,Ritu Chawla,ORD1027,pay_69302894384
21340.96,2026-08-07T09:00:00,Ishaan Gupta,ORD1028,pay_21846364737
12115.79,2026-08-18T15:00:00,Priya Menon,ORD1029,pay_57128340451
2403.35,2026-08-03T21:00:00,Aditya Kulkarni,ORD1030,pay_14046572841
3346.36,2026-08-04T07:00:00,Ananya Rao,ORD1031,pay_98538841724
17896.35,2026-08-05T09:00:00,Vikram Shah,ORD1032,pay_29060937740
1375.0,2026-08-04T21:00:00,Rohit Verma,ORD1033,pay_44668992934
2557.51,2026-08-20T15:00:00,Divya Nair,ORD1034,pay_59347369341
1859.7,2026-08-08T08:00:00,Sneha Iyer,ORD1035,pay_79936851837
2404.51,2026-08-02T02:00:00,Karan Malhotra,ORD1036,pay_26593111770
19971.65,2026-08-01T17:00:00,Vikram Shah,ORD1037,pay_64653487432
5523.07,2026-08-20T12:00:00,Aditya Kulkarni,ORD1038,pay_49664103919
20827.18,2026-08-21T09:00:00,Meera Pillai,ORD1039,pay_99354660786
1862.05,2026-08-02T01:00:00,Divya Nair,ORD1040,pay_36570135457
22276.49,2026-08-20T13:00:00,Sneha Iyer,ORD1041,pay_71517926734
9824.74,2026-08-16T04:00:00,Aditya Kulkarni,ORD1042,pay_46730831205
12205.29,2026-08-02T11:00:00,Ananya Rao,ORD1043,pay_54534378576
16812.57,2026-08-10T14:00:00,Tanvi Desai,ORD1044,pay_42961577953
2230.62,2026-08-13T22:00:00,Ishaan Gupta,ORD1045,pay_32814176146
5455.59,2026-08-02T20:00:00,Ishaan Gupta,ORD1046,pay_68448839006
1120.76,2026-08-17T18:00:00,Ananya Rao,ORD1047,pay_40370651625
1545.31,2026-08-13T01:00:00,Ishaan Gupta,ORD1048,pay_44565471901
6071.96,2026-08-11T03:00:00,Neha Kapoor,ORD1049,pay_83387329592
15738.95,2026-08-01T09:00:00,Neha Kapoor,ORD1050,pay_73087079347
10243.16,2026-08-05T04:00:00,Aditya Kulkarni,ORD1051,pay_20895298881
1816.63,2026-08-08T01:00:00,Sneha Iyer,ORD1052,pay_38791752611
9530.94,2026-08-04T02:00:00,Ritu Chawla,ORD1053,pay_62887924399
300.86,2026-08-10T20:00:00,Neha Kapoor,ORD1054,pay_87874385261
2930.47,2026-08-13T17:00:00,Sneha Iyer,ORD1055,pay_53509068971
1139.68,2026-08-18T23:00:00,Sneha Iyer,ORD1056,pay_12393263237
10892.91,2026-08-12T06:00:00,Neha Kapoor,ORD1057,pay_58663577384
19186.69,2026-08-14T13:00:00,Arjun Reddy,ORD1058,pay_53457350172
19256.27,2026-08-06T17:00:00,Ananya Rao,ORD1059,pay_93715026231
14550.67,2026-08-16T22:00:00,Ritu Chawla,ORD1060,pay_61031896007
20277.37,2026-08-02T19:00:00,Karan Malhotra,ORD1061,pay_63662938507
10104.68,2026-08-10T06:00:00,Priya Menon,ORD1062,pay_56192594381
15250.7,2026-08-20T05:00:00,Neha Kapoor,ORD1063,pay_65032543045
12058.73,2026-08-13T14:00:00,Neha Kapoor,ORD1064,pay_90812078341
19317.03,2026-08-07T09:00:00,Ishaan Gupta,ORD1065,pay_19819992932
17985.87,2026-08-03T01:00:00,Ritu Chawla,ORD1066,pay_21825734954
3289.34,2026-08-11T17:00:00,Ritu Chawla,ORD1067,pay_63358873705
8307.15,2026-08-18T22:00:00,Divya Nair,ORD1068,pay_41671164636
19231.25,2026-08-08T20:00:00,Divya Nair,ORD1069,pay_87578657705
10630.37,2026-08-03T19:00:00,Sneha Iyer,ORD1070,pay_32895182306
14983.67,2026-08-21T22:00:00,Karan Malhotra,ORD1071,pay_14622278116
22575.89,2026-08-20T15:00:00,Ritu Chawla,ORD1072,pay_26492288607
15507.58,2026-08-04T18:00:00,Karan Malhotra,ORD1073,pay_73385415550
8306.15,2026-08-06T14:00:00,Rohit Verma,ORD1074,pay_21877232258
380.11,2026-08-13T10:00:00,Ishaan Gupta,ORD1075,pay_74734582820
17894.06,2026-08-01T03:00:00,Meera Pillai,ORD1076,pay_77901486768
10379.13,2026-08-03T16:00:00,Sneha Iyer,ORD1077,pay_16152073272
13670.58,2026-08-13T07:00:00,Priya Menon,ORD1078,pay_70523905891
14188.55,2026-08-13T16:00:00,Sneha Iyer,ORD1079,pay_14631735011
4251.26,2026-08-17T13:00:00,Ananya Rao,ORD1080,pay_91003747185
22483.67,2026-08-01T05:00:00,Ritu Chawla,ORD1081,pay_56779835865
10020.44,2026-08-07T08:00:00,Rohit Verma,ORD1082,pay_75022604377
2124.5,2026-08-13T01:00:00,Vikram Shah,ORD1083,pay_69688891357
9310.26,2026-08-20T00:00:00,Ritu Chawla,ORD1084,pay_31536585700
6886.46,2026-08-21T11:00:00,Vikram Shah,ORD1085,pay_28101574865
9405.84,2026-08-16T17:00:00,Sneha Iyer,ORD1086,pay_72627932472
12183.47,2026-08-02T00:00:00,Rohit Verma,ORD1087,pay_66742197494
